Sat Mar 15 19:09:21 2025				Page     1

Photoplot log file
Results from aperture table.


INPUT-UNITS     MM

WHEEL     1

LINE             0.1            D121
LINE          0.1016            D10
LINE           0.127            D126
LINE          0.1524            D122
LINE             0.2            D116
LINE          0.2032            D123
LINE           0.254            D124
LINE             0.3            D117
LINE             0.4            D120
LINE           0.635            D125
LINE             0.7            D118
LINE               1            D119
LINE             1.3            D16
LINE            1.38            D19
LINE             1.4            D22
LINE          1.4986            D27
LINE             1.5            D89
LINE               2            D96
LINE             2.2            D99
CIRCLE           0.5            D14
CIRCLE           0.6            D15
CIRCLE        0.9906            D102
CIRCLE        1.0001            D63
CIRCLE           1.1            D12
CIRCLE           1.2            D13
CIRCLE           1.5            D81
CIRCLE           1.6            D82
CIRCLE           1.7            D76
CIRCLE             2            D77
CIRCLE           2.5            D111
CIRCLE        3.0001            D46
CIRCLE             5            D11
SQUARE           1.4   0.00000            D83
SQUARE          1.45   0.00000            D94
SQUARE           1.5   0.00000            D84
SQUARE          1.55   0.00000            D95
SQUARE           1.6   0.00000            D79
SQUARE           1.7   0.00000            D78
SQUARE           1.8   0.00000            D80
SQUARE             2   0.00000            D44
SQUARE           2.2   0.00000            D45
RECTANGLE        0.7       1.6   0.00000  D59
RECTANGLE     0.7112    1.6002   0.00000  D109
RECTANGLE        0.9       1.5   0.00000  D113
RECTANGLE        0.9       1.8   0.00000  D61
RECTANGLE        0.9       2.7   0.00000  D70
RECTANGLE          1       2.8   0.00000  D72
Sat Mar 15 19:09:21 2025				Page     2

Photoplot log file
Results from aperture table.

RECTANGLE      1.016    2.9972   0.00000  D87
RECTANGLE     1.0414    4.0386   0.00000  D37
RECTANGLE        1.1       1.7   0.00000  D115
RECTANGLE        1.1       3.5   0.00000  D74
RECTANGLE     1.1938       1.8   0.00000  D105
RECTANGLE     1.1938    2.2098   0.00000  D107
RECTANGLE        1.2       1.8   0.00000  D55
RECTANGLE        1.2       2.2   0.00000  D47
RECTANGLE     1.2414    4.2386   0.00000  D39
RECTANGLE        1.4         2   0.00000  D57
RECTANGLE        1.4       2.4   0.00000  D49
RECTANGLE     1.4986    1.6002   0.00000  D104
RECTANGLE        1.5       0.9   0.00000  D112
RECTANGLE        1.5       1.6   0.00000  D52
RECTANGLE        1.6       0.7   0.00000  D60
RECTANGLE        1.6       1.5   0.00000  D51
RECTANGLE        1.6         2   0.00000  D40
RECTANGLE     1.6002    0.7112   0.00000  D110
RECTANGLE     1.6002    1.4986   0.00000  D103
RECTANGLE        1.7       1.1   0.00000  D114
RECTANGLE        1.7       1.8   0.00000  D54
RECTANGLE        1.7       2.1   0.00000  D93
RECTANGLE        1.8       0.9   0.00000  D62
RECTANGLE        1.8    1.1938   0.00000  D106
RECTANGLE        1.8       1.2   0.00000  D56
RECTANGLE        1.8       1.7   0.00000  D53
RECTANGLE        1.8       2.2   0.00000  D42
RECTANGLE          2       1.4   0.00000  D58
RECTANGLE          2       1.6   0.00000  D41
RECTANGLE        2.1       1.7   0.00000  D92
RECTANGLE        2.2       1.2   0.00000  D48
RECTANGLE        2.2       1.8   0.00000  D43
RECTANGLE     2.2098    1.1938   0.00000  D108
RECTANGLE        2.4       1.4   0.00000  D50
RECTANGLE        2.7       0.9   0.00000  D71
RECTANGLE        2.8         1   0.00000  D73
RECTANGLE        2.8       3.3   0.00000  D65
RECTANGLE        2.9       3.4   0.00000  D67
RECTANGLE        2.9       3.5   0.00000  D69
RECTANGLE     2.9972     1.016   0.00000  D88
RECTANGLE        3.3       2.8   0.00000  D64
RECTANGLE        3.4       2.9   0.00000  D66
RECTANGLE        3.5       1.1   0.00000  D75
RECTANGLE        3.5       2.9   0.00000  D68
RECTANGLE     4.0386    1.0414   0.00000  D36
RECTANGLE     4.2386    1.2414   0.00000  D38
RECTANGLE     5.2485    6.8053   0.00000  D35
RECTANGLE     6.8053    5.2485   0.00000  D34
RECTANGLE     8.3058   10.7442   0.00000  D31
RECTANGLE     8.5058   10.9442   0.00000  D33
RECTANGLE    10.5156    11.176   0.00000  D85
RECTANGLE    10.7442    8.3058   0.00000  D30
Sat Mar 15 19:09:21 2025				Page     3

Photoplot log file
Results from aperture table.

RECTANGLE    10.9442    8.5058   0.00000  D32
RECTANGLE     11.176   10.5156   0.00000  D86
OBLONG           1.3         2   0.00000  D18
OBLONG          1.38       2.1   0.00000  D21
OBLONG           1.4       2.1   0.00000  D26
OBLONG           1.4       2.2   0.00000  D23
OBLONG        1.4986    3.5052   0.00000  D29
OBLONG           1.5         2   0.00000  D90
OBLONG             2       1.3   0.00000  D17
OBLONG             2       1.5   0.00000  D91
OBLONG             2         5   0.00000  D98
OBLONG           2.1      1.38   0.00000  D20
OBLONG           2.1       1.4   0.00000  D25
OBLONG           2.2       1.4   0.00000  D24
OBLONG           2.2       5.2   0.00000  D101
OBLONG        3.5052    1.4986   0.00000  D28
OBLONG             5         2   0.00000  D97
OBLONG           5.2       2.2   0.00000  D100

